Source.Name,web-scraper-order,web-scraper-start-url,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
cardekho_extract(0-2000).csv,1611917206-1392,https://www.cardekho.com/used-car-details/used-Maruti-Alto-K10-2010-2014-2010-2014-VXI-cars-Bihar-Sharif_86B0B4CB09F13E7AA3F237CB1D12957C.htm,Maruti Alto K10 2010-2014 VXI,2.51 Lakh*,null,2011,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage20.92 kmpl,Engine998 CC,Max Power67.1 bhp,Seats5
cardekho_extract(0-2000).csv,1611917181-1381,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-S10-7-Seater-cars-Patna_BD40B8E947E3FD9CFC2539E592908B76.htm,Mahindra Scorpio S10 7 Seater,11.5 Lakh*,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2016,Dealer,"46,400 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine2179 CC,Max Power120 bhp,Seats7
cardekho_extract(0-2000).csv,1611915496-640,https://www.cardekho.com/used-car-details/used-Hyundai-i10-Magna-1.1L-cars-New-Delhi_0321F85C87645194EEA15D5069CE2236.htm,Hyundai i10 Magna 1.1L,3.1 Lakh*,null,2014,Trustmark Dealer,"32,111 kms",First Owner,Petrol,Manual,Mileage19.81 kmpl,Engine1086 CC,Max Power68.05 bhp,Seats5
cardekho_extract(0-2000).csv,1611916182-939,https://www.cardekho.com/used-car-details/used-Datsun-GO-Plus-T-BSIV-cars-Mahasamund_71937231E771A4CCD41A60F7144A9F57.htm,Datsun GO Plus T BSIV,3.5 Lakh*,New Car (On-Road Price) : Rs.4.80-7.88 Lakh*,2015,Individual,"35,000 kms",First Owner,Petrol,Manual,Mileage19.44 kmpl,Engine1198 CC,Max Power67 bhp,Seats7
cardekho_extract(0-2000).csv,1611916763-1196,https://www.cardekho.com/used-car-details/used-Mahindra-Scorpio-1.99-S6-Plus-cars-Patna_1701F9FF2D3EF6B2A4B18F4257C98D5A.htm,Mahindra Scorpio 1.99 S6 Plus,11.25 Lakh*,New Car (On-Road Price) : Rs.15.10-19.92 Lakh*,2017,Dealer,"30,000 kms",First Owner,Diesel,Manual,Mileage15.4 kmpl,Engine1997 CC,Max Power120 bhp,Seats7
cardekho_extract(0-2000).csv,1611915574-673,https://www.cardekho.com/used-car-details/used-BMW-5-Series-530d-M-Sport-cars-New-Delhi_422B830F1A94245BC680B05FE579FBB9.htm,BMW 5 Series 530d M Sport,26 Lakh*,null,2016,Dealer,"63,000 kms",First Owner,Diesel,Automatic,Mileage18.59 kmpl,Engine2993 CC,Max Power261.49 bhp,Seats5
cardekho_extract(0-2000).csv,1611917957-1723,https://www.cardekho.com/used-car-details/used-Chevrolet-Beat-LT-cars-Jorhat_E11D89F4AFFFBEF441BC1DD89672BE93.htm,Chevrolet Beat LT,2 Lakh*,null,2017,Individual,"43,890 kms",First Owner,Petrol,Manual,Mileage17.8 kmpl,Engine1199 CC,Max Power76.8 bhp,Seats5
cardekho_extract(0-2000).csv,1611918272-1863,https://www.cardekho.com/used-car-details/used-Datsun-GO-Plus-Anniversary-Edition-cars-Palakol_E610526D39B385DE10DB2E4D294E55CE.htm,Datsun GO Plus Anniversary Edition,4.8 Lakh*,New Car (On-Road Price) : Rs.4.97-8.09 Lakh*,2018,Individual,"10,000 kms",First Owner,Petrol,Manual,Mileage20.62 kmpl,Engine1198 CC,Max Power67 bhp,Seats7
cardekho_extract(0-2000).csv,1611918439-1936,https://www.cardekho.com/used-car-details/used-Maruti-Dzire-2017-2020-AMT-ZDI-Plus-cars-Gajuwaka_A3E11D0633B72CCF82A2E1ED86273062.htm,Maruti Swift Dzire AMT ZDI Plus,8.5 Lakh*,null,2017,Individual,"25,000 kms",First Owner,Diesel,Automatic,Mileage28.4 kmpl,Engine1248 CC,Max Power74.02 bhp,Seats5
cardekho_extract(0-2000).csv,1611914450-186,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-2015-2020-1.6-CRDi-AT-SX-Plus-cars-Gurgaon_B804EF920B1CB7CD963160B7D4F33E2F.htm,Hyundai Creta 1.6 CRDi AT SX Plus,11 Lakh*,New Car (On-Road Price) : Rs.11.70-19.75 Lakh*,2017,Dealer,"1,02,000 kms",First Owner,Diesel,Automatic,Mileage17.01 kmpl,Engine1582 CC,Max Power126.2 bhp,Seats5
cardekho_extract(0-2000).csv,1611914673-284,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VXI-2018-cars-New-Delhi_37CF66F156FF00BEFD92BD6DC4DBC0F8.htm,Maruti Swift VXI 2018,5.75 Lakh*,null,2018,Dealer,"35,000 kms",First Owner,Petrol,Manual,Mileage22.0 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
cardekho_extract(0-2000).csv,1611918472-1951,https://www.cardekho.com/used-car-details/used-Hyundai-Santro-LP-cars-Anantapur_2AA3E435C2174B800354D132C04C2C3A.htm,Hyundai Santro LP,1.6 Lakh*,New Car (On-Road Price) : Rs.5.51-7.46 Lakh*,2007,Individual,"54,000 kms",First Owner,Petrol,Manual,Mileage0.0 kmpl,Engine999 CC,Max Powernull bhp,Seats5
cardekho_extract(0-2000).csv,1611914182-67,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2008-VXi-cars-Gurgaon_FE3E7EBC6497E0A598501F5861AA978C.htm,Maruti Swift Dzire VXi,3.4 Lakh*,New Car (On-Road Price) : Rs.6.56-10.04 Lakh*,2012,Dealer,"49,948 kms",First Owner,Petrol,Manual,Mileage17.5 kmpl,Engine1298 CC,Max Power85.8 bhp,Seats5
cardekho_extract(0-2000).csv,1611918194-1829,https://www.cardekho.com/used-car-details/used-Tata-Indigo-CS-eLX-BS-IV-cars-Vizianagaram_FEAEC64AE8C0D3FB03497BCB4EBAF342.htm,Tata Indigo eLX BS IV,5.59 Lakh*,null,2018,Individual,"1,14,851 kms",First Owner,Diesel,Manual,Mileage25.0 kmpl,Engine1396 CC,Max Power69.01 bhp,Seats5
cardekho_extract(0-2000).csv,1611918190-1827,https://www.cardekho.com/used-car-details/used-Ford-Ecosport-2015-2021-1.5-Diesel-Titanium-Plus-BSIV-cars-Rajahmundry_4BDDBFD39AA8F22F59B1E2568795D35A.htm,Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,9.25 Lakh*,New Car (On-Road Price) : Rs.10.15-13.71 Lakh*,2018,Individual,"55,000 kms",First Owner,Diesel,Manual,Mileage23.0 kmpl,Engine1498 CC,Max Power98.96 bhp,Seats5
cardekho_extract(0-2000).csv,1611914707-299,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-i10-2013-2016-Magna-cars-New-Delhi_E1A8978059C56A43DFC82A3D3A249EB8.htm,Hyundai Grand i10 Magna,4 Lakh*,New Car (On-Road Price) : Rs.6.48-6.57 Lakh*,2015,Dealer,"36,000 kms",First Owner,Petrol,Manual,Mileage18.9 kmpl,Engine1197 CC,Max Power82 bhp,Seats5
