Source.Name,web-scraper-order,web-scraper-start-url,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
cardekho_extract(0-2000).csv,1611917529-1535,https://www.cardekho.com/used-car-details/used-Hyundai-Verna-SX-Opt-Diesel-cars-Patna_6FA2662A8BFB5BB6EEDF2B96EFA23A5C.htm,Hyundai Verna SX Opt Diesel,5.51 Lakh*,New Car (On-Road Price) : Rs.12.74-18.17 Lakh*,2013,Dealer,"47,876 kms",First Owner,Diesel,Manual,Mileage25.0 kmpl,Engine1493 CC,Max Power113.42 bhp,Seats5
cardekho_extract(0-2000).csv,1611914545-228,https://www.cardekho.com/used-car-details/used-Mahindra-XUV500-W11-Option-AT-BSIV-cars-New-Delhi_73E027CDEC52E9202EDC502EDE95A30F.htm,Mahindra XUV500 W11 Option AT BSIV,16.5 Lakh*,New Car (On-Road Price) : Rs.16.54-23.28 Lakh*,2018,Individual,"21,500 kms",First Owner,Diesel,Automatic,Mileage15.1 kmpl,Engine2179 CC,Max Power152.87 bhp,Seats7
cardekho_extract(0-2000).csv,1611914236-91,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-i10-2013-2016-CRDi-Magna-cars-Faridabad_50A8624C8416E3531C4722F98803FC7A.htm,Hyundai Grand i10 CRDi Magna,3.5 Lakh*,null,2015,Dealer,"75,000 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1120 CC,Max Power70 bhp,Seats5
cardekho_extract(0-2000).csv,1611915280-548,https://www.cardekho.com/used-car-details/used-Ford-Aspire-1.2-Ti-VCT-Titanium-cars-New-Delhi_E9F47323FD8F0EAA8E100139BD04FC32.htm,Ford Aspire 1.2 Ti-VCT Titanium,5 Lakh*,New Car (On-Road Price) : Rs.6.85-8.70 Lakh*,2017,Dealer,"58,000 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Seats5
cardekho_extract(0-2000).csv,1611916826-1224,https://www.cardekho.com/used-car-details/used-Maruti-Dzire-2017-2020-VXI-1.2-cars-Patna_055C766E5A0504C2B0415975A1F6127F.htm,Maruti Swift Dzire VXI 1.2,5.75 Lakh*,New Car (On-Road Price) : Rs.6.85-10.26 Lakh*,2018,Individual,"30,000 kms",First Owner,Petrol,Manual,Mileage21.21 kmpl,Engine1197 CC,Max Power81.80 bhp,Seats5
cardekho_extract(0-2000).csv,1611918116-1794,https://www.cardekho.com/used-car-details/used-Hyundai-Grand-i10-1.2-CRDi-Asta-cars-Kakinada_A6AC4FD95DEE6019629F4B31FFDCEB30.htm,Hyundai Grand i10 1.2 CRDi Asta,5.45 Lakh*,null,2018,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage24.0 kmpl,Engine1186 CC,Max Power73.97 bhp,Seats5
cardekho_extract(0-2000).csv,1611914419-172,https://www.cardekho.com/used-car-details/used-Ford-Figo-2015-2019-1.2P-Titanium-MT-cars-New-Delhi_52C3381AB1B228B798B72F7403646CAA.htm,Ford Figo 1.2P Titanium MT,5.25 Lakh*,New Car (On-Road Price) : Rs.6.02-7.91 Lakh*,2017,Trustmark Dealer,"19,093 kms",First Owner,Petrol,Manual,Mileage18.16 kmpl,Engine1196 CC,Max Power86.8 bhp,Seats5
cardekho_extract(0-2000).csv,1611916364-1020,https://www.cardekho.com/used-car-details/used-Honda-Amaze-2013-2016-E-i-Vtech-cars-Chandigarh_5849CACEF46A03F0751430725CF54DCF.htm,Honda Amaze E i-Vtech,4 Lakh*,New Car (On-Road Price) : Rs.7.02-9.85 Lakh*,2014,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage18.0 kmpl,Engine1198 CC,Max Power86.7 bhp,Seats5
cardekho_extract(0-2000).csv,1611917919-1706,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-1999-2006-LXI-BSIII-cars-Guwahati_32184865AD04B683DEF46614ED3C19CD.htm,Maruti Wagon R LXI BSIII,1.55 Lakh*,New Car (On-Road Price) : Rs.5.16-6.94 Lakh*,2006,Dealer,"37,000 kms",First Owner,Petrol,Manual,Mileage14.0 kmpl,Engine1061 CC,Max Power64 bhp,Seats5
cardekho_extract(0-2000).csv,1611916925-1267,https://www.cardekho.com/used-car-details/used-Mahindra-Supro-VX-8-Str-cars-Buxar_9688EDCC8DF0493101DD58B0B788366C.htm,Mahindra Supro VX 8 Str,5.4 Lakh*,null,2019,Individual,"3,888 kms",First Owner,Diesel,Manual,Mileage23.5 kmpl,Engine909 CC,Max Power45 bhp,Seats8
cardekho_extract(0-2000).csv,1611917576-1555,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2014-2017-VDI-cars-Patna_5E6E585F632969A48A08A106B606BF16.htm,Maruti Swift Dzire VDI,5.45 Lakh*,null,2016,Dealer,"47,000 kms",First Owner,Diesel,Manual,Mileage26.59 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
cardekho_extract(0-2000).csv,1611918254-1855,https://www.cardekho.com/used-car-details/used-Honda-City-2014-2015-V-MT-cars-Kakinada_AFBFE77E7ECD4478B7BC6AB0034832B1.htm,Honda City V MT,5.45 Lakh*,New Car (On-Road Price) : Rs.13.13-17.45 Lakh*,2013,Individual,"70,000 kms",First Owner,Petrol,Manual,Mileage16.8 kmpl,Engine1497 CC,Max Power116.3 bhp,Seats5
cardekho_extract(0-2000).csv,1611916625-1135,https://www.cardekho.com/used-car-details/used-Renault-KWID-2015-2019-RXL-cars-Katihar_34F56399BF5A2D46AF2FCB1B449461F4.htm,Renault KWID RXL,2.4 Lakh*,New Car (On-Road Price) : Rs.3.62-6.09 Lakh*,2016,Individual,"25,000 kms",First Owner,Petrol,Manual,Mileage25.17 kmpl,Engine799 CC,Max Power53.3 bhp,Seats5
